Type,Start,End,Duration,Distance,Average Heart Rate,Max Heart Rate,Average Pace,Average Speed,Average Cadence,Active Energy,Total Energy,Elevation Ascended,Elevation Descended,Weather Temperature,Weather Humidity
Stair Climbing,8/24/2020 15:38,8/24/2020 16:07,0:28:23,,131.6170213,158,,,,230.007,300.409,,,27.77777778,69
Stair Climbing,8/21/2020 13:35,8/21/2020 14:16,0:40:37,,137.2505133,157,,,,345.844,429.583,,,23.33333333,87
Traditional Strength Training,8/21/2020 12:56,8/21/2020 13:35,0:39:03,,119.026764,156,,,,240.449,303.583,,,22.77777778,90
High Intensity Interval Training,8/19/2020 5:20,8/19/2020 5:51,0:30:33,,136.2900302,170,,,,255.71,313.331,,,20.55555556,93
Stair Climbing,8/17/2020 15:39,8/17/2020 16:02,0:22:20,,134.9738806,148,,,,187.511,241.284,,,31.11111111,53
Traditional Strength Training,8/17/2020 15:30,8/17/2020 15:39,0:09:44,,109.1830986,147,,,,50.658,66.373,,,30.55555556,54
Stair Climbing,8/16/2020 14:46,8/16/2020 15:09,0:22:56,,154.6833333,167,,,,234.495,295.561,,,31.66666667,46
Traditional Strength Training,8/16/2020 14:30,8/16/2020 14:46,0:15:45,,130.5870968,169,,,,116.883,142.685,,,31.66666667,47
Stair Climbing,8/13/2020 15:10,8/13/2020 15:57,0:46:38,,131.6244813,153,,,,373.424,449.551,,,32.22222222,50
High Intensity Interval Training,8/11/2020 5:24,8/11/2020 5:55,0:30:42,,141.892638,163,,,,278.793,346.418,,,21.66666667,99
High Intensity Interval Training,8/10/2020 18:18,8/10/2020 19:00,0:42:21,,126.1002331,160,,,,324.591,413.283,,,22.77777778,92
Stair Climbing,8/7/2020 13:09,8/7/2020 13:44,0:35:01,,141.5625,156,,,,311.494,391.825,,,29.44444444,64
Traditional Strength Training,8/7/2020 12:31,8/7/2020 13:09,0:38:13,,116.5699659,151,,,,221.71,282.41,,,28.88888889,66
High Intensity Interval Training,8/6/2020 18:07,8/6/2020 18:39,0:32:00,,141.1242424,178,,,,282.091,339.368,,,27.77777778,67
Indoor Walking,8/5/2020 12:10,8/5/2020 12:43,0:33:21,2.294241917,97.47826087,110,0:14:32,4.127399441,108.4898733,136.301,211.035,,,29.44444444,59
